Общество с ограниченной ответственностью 84 ВЫСОТА;г Санкт-Петербург ул. Белорусская д. 12 кор. 1 стр. лит. А помещение 1Н;7806536079;Искрицкий Максим Николаевич;309-84-09;84visota@mail.ru
Закрытое акционерное общество CАФИ;Краснодарский край, город Сочи,улица Чайковского 23/1;2320059825;Cедов Василий Юрьевич;+7 (861) 200-91-42;rosto1@mail.ru
Общество с ограниченной ответственностью СЕВЕРНАЯ ИНВЕСТИЦИОННАЯ ГРУППА;Архангельская область, город Северодвинск, улица Первомайская 20, стр.2, офис 1;2902080618;Бадогин Иван Борисович;+7 (818) 458-75-49;nordinvestgroup@yandex.ru
Общество с ограниченной ответственностью СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК В. КОНСТРАКШН;обл Московская город Электросталь улица Захарченко д. 10 комната помещение 8 50;5053058596;Сухарев Тимур Борисович;+7 (496) 579-33-13;office.vd@v-em.ru
Общество с ограниченной ответственностью СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК   СФЕРА;обл Липецкая Липецкий город Липецк улица Гагарина д. 145 кор. пом.4;4826109464;Корабельников Эдуард Михайлович;+7 (474) 237-72-40;sphera48@yandex.ru
Общество с ограниченной ответственностью СТРОИТЕЛЬНАЯ КОМПАНИЯ 10ГПЗ;обл Ростовская, г Ростов-на-Дону, пер Гвардейский д. 11/1;6168006148;Тараскин Юрий Александрович;+7 (863) 201-76-35;info@sk-10gpz.ru
Общество с ограниченной ответственностью СТРОИТЕЛЬНАЯ КОМПАНИЯ ВОЛГА-СТРОЙ;обл Костромская г Кострома ул Деминская д. 1 комната 50 помещение 1;4401065147;Пухликов Роман Анатольевич;+7 (494) 242-22-33;elenakarchina@rambler.ru
Общество с ограниченной ответственностью СТРОИТЕЛЬНАЯ КОМПАНИЯ ЭФЕС;Свердловская область, город Екатеринбург, улица Чкалова 21, офис 21, помещение 27;6670272804;Дейнеко Андрей Анатольевич;+7 (343) 385-93-00;efes@efes.su
Общество с ограниченной ответственностью СТРОЙТЕ С НАМИ;обл Ярославская город Ярославль;7604287165;Самсонкина Вероника Ивановна;+7 (485) 233-56-16;v-stroy2015@mail.ru
Общество с ограниченной ответственностью А 21;обл Ярославская город Ярославль улица Лисицына д. 7;7604248350;Ерин Александр Михайлович;+7 (485) 220-00-07;secretar@ysz76.ru
Общество с ограниченной ответственностью А-ЛЕКС;г Санкт-Петербург улица Лесопарковая д. 13 стр. А комната 102;7838512810;Кузьмин Андрей Борисович;+7 (901) 305-50-25;new-flat@mail.ru
Общество с ограниченной ответственностью А-СИСТЕМА;Пермский край, город Пермь,улица Адмирала Ушакова дом 36б;5908003397;Мехоношин Андрей Юрьевич;+7 (342) 208-79-08;2502175@mail.ru
Общество с ограниченной ответственностью А-СТРОЙ;обл Ярославская город Ярославль улица Лисицына 67 48;7606090534;Самсонкина Вероника Ивановна;+7 (485) 233-47-17;v-stroy2015@mail.ru
Общество с ограниченной ответственностью А-ТЕХНОЛОГИЯ;Пермский край, город Пермь,улица Маршала Рыбалко 12а;5902824830;Мехоношин Андрей Юрьевич;+7 (342) 208-79-08;2502175@mail.ru
Общество с ограниченной ответственностью АГЕНТСТВО РАЗВИТИЯ ТЕРРИТОРИЙ;г Санкт-Петербург улица Мытнинская д. 12/44, литера А оф. 8 помещение 13 Ч.П. 44;7804531413;Шилов Сергей Игоревич;+7 (812) 603-85-55;vartemyagi@plus78.ru
Общество с ограниченной ответственностью А101;г Москва Сосенское поселок Коммунарка д. 35 кор. 2;7704810149;Данилиди Игнатий Сергеевич;+7 (495) 221-40-21;info@a101.ru
Акционерное общество А101 ДЕВЕЛОПМЕНТ;Московская область, город Видное, улица Донбасская 2 стр. 1, комната 216;5003097374;Данилиди Игнатий Сергеевич;+7 (495) 221-40-21;info@a101.ru
Общество с ограниченной ответственностью А4 ПРОДЖЕКТ;обл Архангельская г Архангельск наб Северной Двины д. 71 кор. 1 помещение 3Н;2901200432;Заговельев Александр Сергеевич;+7 (818) 240-09-89;office.37yard@gmail.com
Акционерное общество АКЦИОНЕРНАЯ АГРОСТРОИТЕЛЬНАЯ КОМПАНИЯ ВОЛОГДААГРОСТРОЙ;Вологодская область, город Вологда, улица Конева 35-а;3525000888;Корытин Владимир Николаевич;+7 (817) 274-79-00;vologdaagrostroy@yandex.ru
Общество с ограниченной ответственностью АБСОЛЮТ;обл Челябинская город Челябинск проспект Победы д. 390 кор. А оф. 16А;7448189898;Емельянов Юрий Васильевич;+7 (351) 272-03-02;stroikomplekt2@mail.ru
Общество с ограниченной ответственностью АВА ДЕВЕЛОПМЕНТ ПЛЮС;край Краснодарский город Краснодар улица Бородинская д. 14;2312266578;Яровой Алексей Анатольевич;+7 (800) 222-10-10;info@ask-yug.com
Общество с ограниченной ответственностью АВА-ДЕВЕЛОПМЕНТ;край Краснодарский город Краснодар Улица Уральская д. 75/1 кор. Б;2312247222;Яровой Алексей Анатольевич;+7 (800) 222-10-10;info@ask-yug.com
Общество с ограниченной ответственностью АВАЛОН;обл Новосибирская г Новосибирск ул Благовещенская д. 48/1;5408001391;Медведев Роман Александрович;+7 (383) 349-90-65;bl_nsk@mail.ru
Общество с ограниченной ответственностью АВАНГАРД;обл Воронежская город Воронеж улица Волгоградская д. 46 а  оф. 312;3664213202;Федосеева Маргарита Петровна;+7 (473) 225-94-22;avangard.66@list.ru
Общество с ограниченной ответственностью АВАНГАРД КУПАВНА;город Москва, переулок Напрудный 10 стр. 2, комната РМ1Л;7702428657;Александров Сергей Федорович;+7 (985) 383-38-86;kupavna7777@gmail.com
Общество с ограниченной ответственностью АВАНГАРД-ИНВЕСТ;обл Волгоградская город Волгоград улица Калинина д. 3 оф. 1;3445123250;-;+7 (844) 243-66-10;vlg-invest@bk.ru
Общество с ограниченной ответственностью АВАНГАРД-СТРОЙ;край Краснодарский город Краснодар улица Дальняя д. 27 оф. 406;2308229950;Юдин Дмитрий Витальевич;+7 (988) 475-30-64;interstroyooo@mail.ru
Общество с ограниченной ответственностью АВАНГАРД-Ч;Респ Татарстан г Набережные Челны тракт Мензелинский д. 68 оф. 4;1650329059;Федоткина Любовь Николаевна;+7 (905) 374-08-01;394986@mail.ru
Общество с ограниченной ответственностью АВАНГАРДСТРОЙ;Новосибирская Область, город Новосибирск, улица Ядринцевская 18, офис 20;5403181292;-;-;
Общество с ограниченной ответственностью АВАНТА;обл Ярославская город Ярославль проспект Ленина д. 17 кор. 3 оф. 1 этаж;7604318688;Никулушкин Иван Михайлович;+7 (485) 264-06-60;skavanta@mail.ru
Общество с ограниченной ответственностью АВГУСТ;край Краснодарский, г Краснодар, ул Кубанская Набережная д. 37/12;2308230515;Чабанов Василий Николаевич;+7 (918) 449-33-33;melodialesa@yandex.ru
Общество с ограниченной ответственностью АВЕНИДА;край Пермский д. 28 кор. А кв. 8;5904290623;Внутских Андрей Юрьевич;+7 (912) 887-90-88;aveeenida@gmail.com
Общество с ограниченной ответственностью АВЕНТИН;обл Рязанская г Рязань ул Введенская д. 80;6234111878;Назаркин Кирилл Владимирович;+7 (491) 224-01-00;gorod.ryazan@mail.ru
Общество с ограниченной ответственностью АВЕНЮ;обл Ленинградская Всеволожский город Сертолово мкр. Сертолово-1 улица Индустриальная 11  1;4703064735;Фролов Дмитрий Александрович;+7 (812) 403-09-90;office@sertolovo-avenue.ru
Общество с ограниченной ответственностью АВЕСТ;г Москва город Москва проезд Электролитный д. 1 кор. 4 комната 4 помещение VI;7724559389;Челидзе Эльдар Джумберович;+7 (495) 540-50-92;info@ukrp.ru
Общество с ограниченной ответственностью АВЕСТА-СТРОЙ;обл Московская Одинцовский Город Одинцово улица Акуловская д. 2а оф. ЭТ/ЛИТ/ПОМ 5/Б/501;5032170364;Затеева Ольга Кирилловна;+7 (495) 644-00-74;uk.obl@bk.ru
Акционерное общество АВИАСПЕЦРЕСУРС;Московская область, Солнечногорский район, деревня Носово, улица Новая 17;5029066187;Шлобин Александр Феликсович;+7 (498) 720-40-01;iv50@asresurs.ru
Общество с ограниченной ответственностью АВИАТОР-3;край Пермский г Пермь ул Стахановская;5902243642;Пухов Александр Станиславович;+7 (902) 801-34-64;aviator3puhov@yandex.ru
Общество с ограниченной ответственностью АВИГРАН;Московская область, город Лыткарино, 6-ой микрорайон, строение 15, пом. 1, этаж 1;7722264703;Ларионов Алексей Сергеевич;+7 (495) 988-29-29;ukms-project.ru@inbox.ru
Общество с ограниченной ответственностью АВИСТА;обл Московская Рузский рабочий поселок Тучково улица Восточная д. 19;5075015652;Сошко Вадим Александрович;+7 (495) 772-79-39;sekretar@ruzatd.ru
Общество с ограниченной ответственностью АВМ СТРОЙ;г Москва ул Жуковского д. 5А;7701984500;-;+7 (000) 000-00-00;example@example.ru
Общество с ограниченной ответственностью АВРОРА-ГРИНН;обл Тульская город Тула ул. Пушкинская д. 53 оф. 6 этаж;7106023650;Бармина Елена Олеговна;+7 (487) 270-04-00;info@avrora-green.ru
Общество с ограниченной ответственностью АВС-М;обл Новосибирская г Бердск ул Лунная д. 1;5408240992;Растягаев Евгений Иванович;+7 (383) 209-26-39;info@avc-m.ru
Общество с ограниченной ответственностью АВСТРОМ;край Пермский г Пермь ул Ленина д. 60 оф. 401;5904115942;Дроздова Марина Юрьевна;+7 (342) 236-12-40;avstrom@avstrom.perm.ru
Общество с ограниченной ответственностью АВТО ХОЛДИНГ СЕРВИС;Самарская область, город Тольятти, улица 40 лет Победы 26, 28, 2 этаж;6382018230;-;-;
Общество с ограниченной ответственностью АВТО-С;обл Волгоградская город  Волгоград  улица  Социалистическая  д. 17;3442060820;-;+7 (909) 392-07-04;law34.2016@yandex.ru
Общество с ограниченной ответственностью АВТОДОМ;Саратовская Область, город Саратов, проезд Пугачевский 10-Й, 8;6452940233;-;-;
Общество с ограниченной ответственностью АВТОИНВЕСТ;обл Нижегородская г Дзержинск ул Петрищева д. 35А 52;5249092190;Лебедева Светлана Сергеевна;+7 (883) 133-55-50;info@smp52.ru
Жилищный или жилищно-строительный кооператив АВТОНОМНАЯ;Респ Удмуртская город Ижевск улица Союзная д. 99 кв. 27;1831188385;-;+7 (963) 546-00-30;avtonom2017@bk.ru
Общество с ограниченной ответственностью АВТОПОРТАЛ;обл Оренбургская г Оренбург ул Донецкая д. 2 56;5610153825;-;+7 (999) 999-99-99;1@mail.ru
Общество с ограниченной ответственностью АВТОСПЕЦГАРАНТ;Москва город, Тупик Тихвинский 1-Й, дом 5-7, Помещенеие I;4345174608;-;+7 (833) 222-02-10;info@asg43.ru
Товарищество собственников жилья АВТОСПОРТ;Респ Дагестан г Махачкала проезд Абдулхакима Исмаилова д. 11 кор. А кв. 65;0561043521;-;+7 (000) 000-00-00;example@example.ru
Общество с ограниченной ответственностью АВТОТЕХ;г Москва ул Баррикадная д. 8 стр. 5А;7721505515;Сорокин Алексей Игоревич;+7 (499) 254-17-72;info.avtoteh@parklegends.ru
Общество с ограниченной ответственностью АГ ЭСТЕЙТ;обл Вологодская г Вологда ул Предтеченская д. 75а;3525388798;Григорьев Артур Алексеевич;+7 (817) 275-00-28;ag-estate@mail.ru
Общество с ограниченной ответственностью АГЕНСТВО АГР;обл Архангельская г Архангельск ул Попова д. 17 оф. 10;2901279440;Киткин Вячеслав Сергеевич;+7 (921) 243-17-67;agrnedv@mail.ru
Общество с ограниченной ответственностью АГИДЕЛЬ;Респ Башкортостан, г Нефтекамск, ул Техснабовская д. 3;0276151543;Хлобыстов Игорь Евгеньевич;+7 (347) 835-36-75;oooagidel15@mail.ru
Акционерное общество АРХАНГЕЛЬСКГРАЖДАНРЕКОНСТРУКЦИЯ;Архангельская область, город Архангельск, улица Попова 17;2901030646;Киткин Вячеслав Сергеевич;+7 (818) 265-37-98;aoagr@yandex.ru
Общество с ограниченной ответственностью АГРОС;обл Калининградская город Калининград переулок 2-ой Ржевский д. 20;3906318126;Данишевский Артем Александрович;+7 (401) 231-24-80;u75@danor.ru
Общество с ограниченной ответственностью АГРОСТРОЙ;обл Московская Наро-Фоминский город Наро-Фоминск Улица Калинина д. 8/1 помещение 7;5030048672;Нисанов Александр Ильич;+7 (928) 651-00-70;reg@n-nk.ru
Общество с ограниченной ответственностью АГРОСТРОЙ ПЛЮС;обл Владимирская город Владимир проспект Ленина 15а;3328431412;Николаев Владимир Петрович;+7 (492) 232-13-95;oaoagrostroy@ya.ru
Общество с ограниченной ответственностью АГРОСТРОЙИНВЕСТ;АО Ханты-Мансийский Автономный округ - Югра город Мегион улица Береговая д. 11 стр. 2 комната 1-2;3444139842;Волков Олег Игоревич;+7 (952) 724-93-59;agrostroi999@mail.ru
Общество с ограниченной ответственностью АДАЛИН-СТРОЙ;край Алтайский город Барнаул пр-кт Социалистический д. 130А оф. 9 помещение Н5;2221195827;Дублей Игорь Васильевич;+7 (385) 259-00-94;adalin@myttk.ru
Общество с ограниченной ответственностью АДАЛИНСТРОЙ;край Алтайский город  Барнаул д. 130А оф. 8 помещение Н5;2221234554;Зеленин Юрий Алексеевич;+7 (385) 259-00-96;adalin@myttk.ru
Общество с ограниченной ответственностью АДАМАНТ;обл Рязанская город Рязань ул Радищева д. 41 помещение Н2;6234100146;-;+7 (491) 224-01-50;gorod.ryazan@mail.ru
Общество с ограниченной ответственностью АДМ;г Москва город Москва улица Выборгская д. 7 кор. 1 помещение А-2, Цокольный этаж;7734658614;Паршуков Игорь Станиславович;+7 (495) 725-80-93;info@krost.ru
Общество с ограниченной ответственностью АДМИРАЛ 3;обл Воронежская город Воронеж улица проспект Труда д. 72 помещение 17;3662260133;Кораблин Александр Анатольевич;+7 (473) 200-89-89;admiral3dom@gmail.com
Общество с ограниченной ответственностью АЕМА ДЕВЕЛОПМЕНТ;г Санкт-Петербург ПРОСПЕКТ БОЛЬШОЙ САМПСОНИЕВСКИЙ д. 82 кор. ЛИТЕРА А помещение 9Н;7814522390;Евтушенко Глеб Николаевич;+7 (812) 777-77-25;info@aema.fi
Общество с ограниченной ответственностью АЗГАРД;обл Томская г Томск пр-кт Мира д. 15/1;7017364785;Пасынкова Мария Владимировна;+7 (906) 958-94-48;Lafayetta@mail.ru
Общество с ограниченной ответственностью АЗИМУТ-ДЕВЕЛОПМЕНТ;край Приморский город Владивосток улица Светланская д. 108 кор. Е оф. 10;2536275804;Беззубкин Валерий Евгеньевич;+7 (423) 295-12-12;sales@ewss.ru
Общество с ограниченной ответственностью АЗИМУТ-М;Респ Северная Осетия - Алания город Владикавказ улица Красноармейская д. 2 стр. 17;1513042135;Гуссалов Александр Маирбекович;+7 (867) 240-33-78;ooo-azimut.m@mail.ru
Общество с ограниченной ответственностью АЗИЯ ТРЕСТ;край Хабаровский город Хабаровск ул Шеронова д. 88 помещение 10;2721235098;Герасимчук Александр Валерьевич;+7 (421) 255-88-88;120@558888.ru
Акционерное общество АГЕНТСТВО ИПОТЕЧНОГО ЖИЛИЩНОГО КРЕДИТОВАНИЯ ОРЛОВСКОЙ ОБЛАСТИ;Орловская область, город Орел, площадь Мира 7;5751030135;Латышев Борис Викторович;+7 (486) 254-49-55;544955@ipoteka.orl.ru
Общество с ограниченной ответственностью АИС-ПРОЕКТ;Москва город,улица Олеко Дундича, 3;7730512766;-;+7 (495) 980-76-45;
Общество с ограниченной ответственностью АЙБЕР ЗВЕЗДА;город Санкт-Петербург, проспект Московский 105-107, литер А, пом. 3Н;7810345662;-;-;
Общество с ограниченной ответственностью АЙТАКСА;г Москва пер Смоленский 1-й д. 22/10 комната 1 помещение 1;7718948429;Осипов Юрий Владимирович;+7 (999) 819-65-92;info@itaxa.ru
Общество с ограниченной ответственностью АКАДЕМ КОНСАЛТИНГ;обл Новосибирская Новосибирск Новосибирск Красный проспект, 200, 1110/2;5402582823;Белоусова Ирина Ефимовна;+7 (383) 249-25-02;oooak2018@gmail.com
Общество с ограниченной ответственностью АКАДЕМ-29;обл Свердловская г Екатеринбург ул Циолковского д. 29;6685100332;Смольянинов Глеб Евгеньевич;+7 (343) 222-33-55;shutova_yuliya@comstrin-ekb.ru
Общество с ограниченной ответственностью АКАДЕМГРАД;Респ Удмуртская город Ижевск улица Холмогорова д. 83 кв. 88;1831176380;Мокрецов Михаил Александрович;+7 (919) 919-20-77;src10@mail.ru
Общество с ограниченной ответственностью АКАДЕМИНВЕСТ;край Хабаровский г Хабаровск ул ул.Лазо 86 Б оф. 21;2724154697;Блюм Вячеслав Константинович;+7 (421) 291-02-99;nvresurs@mail.ru
Акционерное общество ТЕХНОПАРК НОВОСИБИРСКОГО АКАДЕМГОРОДКА;Новосибирская область, город Новосибирск, улица Николаева 12, этаж 12;5408252116;Никонов Владимир Алексеевич;+7 (383) 344-93-13;info@academpark.com
Общество с ограниченной ответственностью АКВА СИТИ;обл Новосибирская, г Новосибирск, ул Нарымская д. 23;5407480952;Мартыненков Владимир Владимирович;+7 (383) 220-59-04;Lavinov@c-holding.ru
Общество с ограниченной ответственностью АКВАМАРИН;Новосибирская область, город Новосибирск, улица Железнодорожная, 15 Пом 103;5407953260;-;-;
Общество с ограниченной ответственностью АКВАМАРИН;обл Ростовская город Ростов-на-Дону проспект Космонавтов д. 29/2 стр. литер А помещение 18;2320156184;Жогло Дмитрий Александрович;+7 (863) 298-81-81;gk-8marta@yandex.ru
Общество с ограниченной ответственностью АКВАРЕЛЬ;обл Тюменская Тюменский Город Тюмень Улица Советская д. 55/10 помещение 12;7204186003;Беличенко Виктор Алексеевич;+7 (345) 256-10-56;gktis72@gmail.com
Общество с ограниченной ответственностью АКВАСПОРТ;обл Московская Красногорский деревня Путилково 71 км МКАД 16А;5024062037;Германов Владимир Борисович;+7 (499) 254-07-10;vgermanov@rosital.ru
Общество с ограниченной ответственностью АКВАТЕРН;г Санкт-Петербург проспект Московский д. 212 стр. А оф. 8004;7816198118;Рудаков Андрей Александрович;+7 (812) 363-20-80;akv4585301@yandex.ru
Общество с ограниченной ответственностью АКВАТОРИЯ;край Алтайский г Барнаул ул Пролетарская д. 56;2225157685;Самарина Анна Сергеевна;+7 (385) 220-16-24;Sas2706@yandex.ru
Общество с ограниченной ответственностью АКВАТОРИЯ;г Москва шоссе Ленинградское д. 69;7712006051;Лукашин Александр Михайлович;+7 (495) 782-22-36;hello@aquatoria.com
Общество с ограниченной ответственностью АКД-МЕТА;обл Новосибирская Новосибирский город Новосибирск улица Лескова д. 23;5405416327;Петров Максим Алексеевич;+7 (383) 239-10-01;m.petrov@akd54.ru
Общество с ограниченной ответственностью АККО РД;обл Калининградская, г Калининград, ул Эпроновская д. 12;3905060266;Типпель Вячеслав Иванович;+7 (401) 236-11-00;info@msd39.ru
Общество с ограниченной ответственностью АККОРДЪ;г Москва город Москва набережная Пресненская  д. 8 стр. 1 комната 5 помещение I;7703378906;Теснов Игорь Вячеславович;+7 (495) 363-62-00;info@capitalgroupcorp.com
Акционерное общество АКСОН;Московская область, город Химки, микрорайон Сходня, улица Папанина 38к2, помещение 1Т;7743826713;Расулов Артур Османович;+7 (495) 602-07-57;info@2-stolitsy.ru
Общество с ограниченной ответственностью АКТИВ;156029 обл Костромская город Кострома улица улица Мясницкая д. 97;4401139624;-;+7 (000) 000-00-00;info@aktiv.ru
Общество с ограниченной ответственностью АЛАКОМ;обл Нижегородская г Нижний Новгород ул Торговая д. 18/4;5260337478;-;+7 (920) 058-28-92;chermenin_an@mail.ru
Общество с ограниченной ответственностью АЛГОРИТМ ДЕВЕЛОПМЕНТ;г Санкт-Петербург улица Есенина д. 1 кор. 1 стр. А оф. 47-Н;7842055902;Самсонов Олег Иванович;+7 (812) 409-96-46;info@algoritmzhizni.ru
Общество с ограниченной ответственностью АЛЕКС;Воронежская область, город Воронеж, улица 2-летия;3662132565;Шпаков Андрей Анатольевич;+7 (473) 280-20-28;aleksbor@oooaleks.ru
Общество с ограниченной ответственностью АЛЕКСАНДРИЯ 6-10;АО Ханты-Мансийский Автономный округ - Югра Город Ханты-Мансийск Улица Гагарина д. 118/1;8601046621;Мовсисян Вачаган Вачаганович;+7 (346) 738-86-55;seсretar@sst.hm
Общество с ограниченной ответственностью АЛЕКСАНДРОВСКИЙ КВАРТАЛ;г Санкт-Петербург г Пушкин ш Красносельское 14/28;7820050650;Козлов Алексей Петрович;+7 (812) 339-34-18;kvartal@new-pushkin.ru
Общество с ограниченной ответственностью АЛЗА;Чувашская Республика, город Чебоксары, улица Гагарина Ю., 55;2127311850;-;-;
Общество с ограниченной ответственностью АЛКОМ;обл Калининградская, г Калининград, ул Красная д. 247;3905068145;Иванова Марина Юрьевна;+7 (401) 299-22-33;office@39rzs.ru
Общество с ограниченной ответственностью АЛМАЗ;обл Ростовская г Ростов-на-Дону проспект 40-летия Победы д. 302 кор. А оф. 22;6164301720;-;+7 (000) 000-00-00;example@example.ru
Общество с ограниченной ответственностью АЛМАЗНАЯ КОРОНА ПРИПОЛЯРЬЯ;Респ Саха /Якутия/ г Якутск ул Петровского д. 38;1435292939;Матвеев Олег Александрович;+7 (411) 240-35-33;mail@almaz-korona.ru
Общество с ограниченной ответственностью АЛМАКС-СТРОЙ;край Краснодарский город Краснодар ул им Атарбекова д. 1/1 помещение 18;2311146937;Чернышов Иван Валерьевич;+7 (861) 299-50-50;info@almaks-kr.ru
Общество с ограниченной ответственностью АЛТАЙ-СТРОЙ;обл Кировская г Киров ул Некрасова д. 73;4345090468;Сунцов Сергей Владимирович;+7 (833) 271-22-25;kvart@alt43.ru
Общество с ограниченной ответственностью АЛТПРОМСНАБ;обл Новосибирская г. Новосибирск ул. Семьи Шамшиных  д. 30 помещение 88;2223032641;Ростов Валерий Владимирович;+7 (903) 912-19-84;altpromsnab@inbox.ru
Общество с ограниченной ответственностью АЛФАВИТ;Волгоградская область, город Волгоград, улица Коммунистическая 21, офис 26, 27;3443112502;-;-;
Общество с ограниченной ответственностью АЛЬБАТРОС;г Санкт-Петербург площадь Конституции д. 7 кор. А оф. 708;7811385731;Абдиева Жумагуль Тураровна;+7 (812) 602-29-10;client@lidgroup.ru
Общество с ограниченной ответственностью СОЮЗ ПОДДЕРЖКИ МОРСКОЙ ПЕХОТЫ И ПОДРАЗДЕЛЕНИЙ СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ АЛЬБАТРОС;Нижегородская область, город Нижний Новгород, улица Монастырка  1В, офис 303А (Этаж 3);5257085421;-;-;
Общество с ограниченной ответственностью АЛЬБИОН;Нижегородская Область, город Нижний Новгород, улица Окский Съезд 2 А;5262150387;-;-;
Общество с ограниченной ответственностью АЛЬКАСАР;край Краснодарский город Краснодар улица 40 лет Победы д. 34 оф. 704;2311181836;Зубреев Андрей Олегович;+7 (861) 298-98-98;alkasar.2015@yandex.ru
Общество с ограниченной ответственностью АЛЬМИНА;обл Волгоградская Волгоград Волгоград 13-й Гвардейской  д. 13А оф. 31;3444178922;-;+7 (844) 299-56-87;alminalawyer@yandex.ru
Общество с ограниченной ответственностью АЛЬМИР;обл Саратовская, г Саратов, ул Большая Садовая д. 279;6452948169;Тюрин Александр Михайлович;+7 (845) 244-40-41;444041@bk.ru
Общество с ограниченной ответственностью АЛЬПИК;Краснодарский край, город Сочи,улица Советская 40;7708533009;-;+7 (862) 264-46-78;
Общество с ограниченной ответственностью АЛЬТАИР-ИНВЕСТ;обл Ленинградская Всеволожский г Всеволожск ул Заводская д. 33/35;4703112594;-;+7 (812) 677-18-18;info@upltd.ru
Общество с ограниченной ответственностью АЛЬТЕНЗА;обл Вологодская город Вологда улица Зосимовская д. 47 кор. офис 30,31;3528169353;Порхунов Иван Николаевич;+7 (817) 226-55-16;svetliydom35@yandex.ru
Общество с ограниченной ответственностью АЛЬТЕРА;г Санкт-Петербург площадь Конституции д. 3 кор. литера А оф. 912 помещение 22Н;7810610303;Бова Виктор Станиславович;+7 (812) 574-47-47;info@isk-vita.ru
Общество с ограниченной ответственностью АЛЬТЕРНАТИВА;г Санкт-Петербург город Санкт-Петербург улица Лени Голикова д. 35 комната 15 помещение 2-Н 78;7805517242;Кольцова Светлана Юрьевна;+7 (921) 932-47-28;9324728@mail.ru
Общество с ограниченной ответственностью АЛЬФА;обл Рязанская город Рязань улица Лесопарковая д. 18 оф. 104 помещение 1;6234148525;Царева Татьяна Игоревна;+7 (961) 012-83-23;alfa62-str@mail.ru
Общество с ограниченной ответственностью АЛЬФА;обл Московская Мытищи город Мытищи улица Карла Маркса д. 4 помещение 9;7723335957;Сорокин Дмитрий Леонидович;+7 (495) 602-07-57;referent@alfa-nagornoe.ru
Общество с ограниченной ответственностью АЛЬФА;край Краснодарский город Краснодар улица Уральская д. 75/1 кор. Б;2312233660;Яровой Алексей Анатольевич;+7 (800) 222-10-10;info@ask-yug.com
Общество с ограниченной ответственностью АЛЬФА РЯЗАНЬ;Рязанская область, город Рязань, улица Есенина, 45, 1, 29;6230081541;-;-;
Общество с ограниченной ответственностью АЛЬФА-ГРУПП;край Пермский город Пермь улица Куйбышева д. 50а оф. 23;5904241880;Ширинкин Сергей Вячеславович;+7 (342) 240-40-10;ajakstroi@mail.ru
Общество с ограниченной ответственностью АЛЬФА-РЕКОРД;обл Саратовская город Саратов проспект Строителей д. б/н;6453058803;Абдуллаев Мамед Гумбат Оглы;+7 (845) 232-79-33;alfa_rekord@mail.ru
Общество с ограниченной ответственностью АЛЬФА-СТРОЙ;обл Архангельская город Архангельск улица Попова д. 14 оф. 520;2901184195;Пославский Константин Евгеньевич;+7 (818) 265-63-65;invest@akvilon-invest.ru
Общество с ограниченной ответственностью АЛЬФА-СТРОЙ;Чувашия Чувашская Республика - город Чебоксары пр-кт Московский д. 25 кор. 1 помещение 2;2130184384;Овчинников Игорь Владимирович;+7 (835) 245-67-91;41-00-00@mail.ru
